Time_Interval,Country_Area,Total_Generation
01/03/2024 16:15:00 - 01/03/2024 16:30:00,Spain (ES),36040
01/03/2024 16:30:00 - 01/03/2024 16:45:00,Spain (ES),35888
01/03/2024 16:45:00 - 01/03/2024 17:00:00,Spain (ES),36056
01/03/2024 17:00:00 - 01/03/2024 17:15:00,Spain (ES),35812
01/03/2024 17:15:00 - 01/03/2024 17:30:00,Spain (ES),34940
01/03/2024 17:30:00 - 01/03/2024 17:45:00,Spain (ES),35008
01/03/2024 17:45:00 - 01/03/2024 18:00:00,Spain (ES),35368
01/03/2024 18:00:00 - 01/03/2024 18:15:00,Spain (ES),35424
01/03/2024 18:15:00 - 01/03/2024 18:30:00,Spain (ES),33740
01/03/2024 18:30:00 - 01/03/2024 18:45:00,Spain (ES),32940
01/03/2024 18:45:00 - 01/03/2024 19:00:00,Spain (ES),32860
01/03/2024 19:00:00 - 01/03/2024 19:15:00,Spain (ES),33140
01/03/2024 19:15:00 - 01/03/2024 19:30:00,Spain (ES),33156
01/03/2024 19:30:00 - 01/03/2024 19:45:00,Spain (ES),34092
01/03/2024 19:45:00 - 01/03/2024 20:00:00,Spain (ES),34432
01/03/2024 20:00:00 - 01/03/2024 20:15:00,Spain (ES),34768
01/03/2024 20:15:00 - 01/03/2024 20:30:00,Spain (ES),34784
01/03/2024 20:30:00 - 01/03/2024 20:45:00,Spain (ES),34608
01/03/2024 20:45:00 - 01/03/2024 21:00:00,Spain (ES),34752
01/03/2024 21:00:00 - 01/03/2024 21:15:00,Spain (ES),34756
01/03/2024 21:15:00 - 01/03/2024 21:30:00,Spain (ES),34584
01/03/2024 21:30:00 - 01/03/2024 21:45:00,Spain (ES),34348
01/03/2024 21:45:00 - 01/03/2024 22:00:00,Spain (ES),33692
01/03/2024 22:00:00 - 01/03/2024 22:15:00,Spain (ES),32872
01/03/2024 22:15:00 - 01/03/2024 22:30:00,Spain (ES),32196
01/03/2024 22:30:00 - 01/03/2024 22:45:00,Spain (ES),31728
01/03/2024 22:45:00 - 01/03/2024 23:00:00,Spain (ES),31144
01/03/2024 23:00:00 - 01/03/2024 23:15:00,Spain (ES),30932
01/03/2024 23:15:00 - 01/03/2024 23:30:00,Spain (ES),30504
01/03/2024 23:30:00 - 01/03/2024 23:45:00,Spain (ES),29748
01/03/2024 23:45:00 - 02/03/2024 00:00:00,Spain (ES),29056
01/04/2024 00:00:00 - 01/04/2024 00:15:00,Spain (ES),25456
01/04/2024 00:15:00 - 01/04/2024 00:30:00,Spain (ES),26024
01/04/2024 00:30:00 - 01/04/2024 00:45:00,Spain (ES),25804
01/04/2024 00:45:00 - 01/04/2024 01:00:00,Spain (ES),25312
01/04/2024 01:00:00 - 01/04/2024 01:15:00,Spain (ES),24900
01/04/2024 01:15:00 - 01/04/2024 01:30:00,Spain (ES),25376
01/04/2024 01:30:00 - 01/04/2024 01:45:00,Spain (ES),25052
01/04/2024 01:45:00 - 01/04/2024 02:00:00,Spain (ES),24796
01/04/2024 02:00:00 - 01/04/2024 02:15:00,Spain (ES),24400
01/04/2024 02:15:00 - 01/04/2024 02:30:00,Spain (ES),24464
01/04/2024 02:30:00 - 01/04/2024 02:45:00,Spain (ES),24288
01/04/2024 02:45:00 - 01/04/2024 03:00:00,Spain (ES),24064
01/04/2024 03:00:00 - 01/04/2024 03:15:00,Spain (ES),23884
01/04/2024 03:15:00 - 01/04/2024 03:30:00,Spain (ES),23868
01/04/2024 03:30:00 - 01/04/2024 03:45:00,Spain (ES),23636
01/04/2024 03:45:00 - 01/04/2024 04:00:00,Spain (ES),23524
01/04/2024 04:00:00 - 01/04/2024 04:15:00,Spain (ES),23348
01/04/2024 04:15:00 - 01/04/2024 04:30:00,Spain (ES),23116
01/04/2024 04:30:00 - 01/04/2024 04:45:00,Spain (ES),23040
01/04/2024 04:45:00 - 01/04/2024 05:00:00,Spain (ES),23100
01/04/2024 05:00:00 - 01/04/2024 05:15:00,Spain (ES),23020
01/04/2024 05:15:00 - 01/04/2024 05:30:00,Spain (ES),23036
01/04/2024 05:30:00 - 01/04/2024 05:45:00,Spain (ES),23100
01/04/2024 05:45:00 - 01/04/2024 06:00:00,Spain (ES),23300
01/04/2024 06:00:00 - 01/04/2024 06:15:00,Spain (ES),23396
01/04/2024 06:15:00 - 01/04/2024 06:30:00,Spain (ES),23560
01/04/2024 06:30:00 - 01/04/2024 06:45:00,Spain (ES),23684
01/04/2024 06:45:00 - 01/04/2024 07:00:00,Spain (ES),23968
01/04/2024 07:00:00 - 01/04/2024 07:15:00,Spain (ES),24420
01/04/2024 07:15:00 - 01/04/2024 07:30:00,Spain (ES),24568
01/04/2024 07:30:00 - 01/04/2024 07:45:00,Spain (ES),24928
01/04/2024 07:45:00 - 01/04/2024 08:00:00,Spain (ES),25200
01/04/2024 08:00:00 - 01/04/2024 08:15:00,Spain (ES),25332
01/04/2024 08:15:00 - 01/04/2024 08:30:00,Spain (ES),25592
01/04/2024 08:30:00 - 01/04/2024 08:45:00,Spain (ES),26112
01/04/2024 08:45:00 - 01/04/2024 09:00:00,Spain (ES),26392
01/04/2024 09:00:00 - 01/04/2024 09:15:00,Spain (ES),26628
01/04/2024 09:15:00 - 01/04/2024 09:30:00,Spain (ES),28296
01/04/2024 09:30:00 - 01/04/2024 09:45:00,Spain (ES),28920
01/04/2024 09:45:00 - 01/04/2024 10:00:00,Spain (ES),29088
01/04/2024 10:00:00 - 01/04/2024 10:15:00,Spain (ES),29232
01/04/2024 10:15:00 - 01/04/2024 10:30:00,Spain (ES),29612
01/04/2024 10:30:00 - 01/04/2024 10:45:00,Spain (ES),29540
01/04/2024 10:45:00 - 01/04/2024 11:00:00,Spain (ES),29320
01/04/2024 11:00:00 - 01/04/2024 11:15:00,Spain (ES),29224
01/04/2024 11:15:00 - 01/04/2024 11:30:00,Spain (ES),29660
01/04/2024 11:30:00 - 01/04/2024 11:45:00,Spain (ES),29948
01/04/2024 11:45:00 - 01/04/2024 12:00:00,Spain (ES),29980
01/04/2024 12:00:00 - 01/04/2024 12:15:00,Spain (ES),29872
01/04/2024 12:15:00 - 01/04/2024 12:30:00,Spain (ES),29920
01/04/2024 12:30:00 - 01/04/2024 12:45:00,Spain (ES),30060
01/04/2024 12:45:00 - 01/04/2024 13:00:00,Spain (ES),30336
01/04/2024 13:00:00 - 01/04/2024 13:15:00,Spain (ES),29884
01/04/2024 13:15:00 - 01/04/2024 13:30:00,Spain (ES),29940
01/04/2024 13:30:00 - 01/04/2024 13:45:00,Spain (ES),30036
01/04/2024 13:45:00 - 01/04/2024 14:00:00,Spain (ES),30092
01/04/2024 14:00:00 - 01/04/2024 14:15:00,Spain (ES),30284
01/04/2024 14:15:00 - 01/04/2024 14:30:00,Spain (ES),30476
01/04/2024 14:30:00 - 01/04/2024 14:45:00,Spain (ES),30612
01/04/2024 14:45:00 - 01/04/2024 15:00:00,Spain (ES),30204
01/04/2024 15:00:00 - 01/04/2024 15:15:00,Spain (ES),30028
01/04/2024 15:15:00 - 01/04/2024 15:30:00,Spain (ES),29776
01/04/2024 15:30:00 - 01/04/2024 15:45:00,Spain (ES),29464
01/04/2024 15:45:00 - 01/04/2024 16:00:00,Spain (ES),29388
01/04/2024 16:00:00 - 01/04/2024 16:15:00,Spain (ES),29300
01/04/2024 16:15:00 - 01/04/2024 16:30:00,Spain (ES),28832
01/04/2024 16:30:00 - 01/04/2024 16:45:00,Spain (ES),28556
01/04/2024 16:45:00 - 01/04/2024 17:00:00,Spain (ES),28116
01/04/2024 17:00:00 - 01/04/2024 17:15:00,Spain (ES),27948
01/04/2024 17:15:00 - 01/04/2024 17:30:00,Spain (ES),27976
01/04/2024 17:30:00 - 01/04/2024 17:45:00,Spain (ES),27912
01/04/2024 17:45:00 - 01/04/2024 18:00:00,Spain (ES),28040
01/04/2024 18:00:00 - 01/04/2024 18:15:00,Spain (ES),28392
01/04/2024 18:15:00 - 01/04/2024 18:30:00,Spain (ES),29244
01/04/2024 18:30:00 - 01/04/2024 18:45:00,Spain (ES),28896
01/04/2024 18:45:00 - 01/04/2024 19:00:00,Spain (ES),28676
01/04/2024 19:00:00 - 01/04/2024 19:15:00,Spain (ES),29312
