"MTU","Out Area","In Area","Physical Flow (MW)"
"01/11/2024 03:00:00 - 01/11/2024 04:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 03:00:00 - 01/11/2024 04:00:00","France (FR)","Spain (ES)","2148.22"
"01/11/2024 03:00:00 - 01/11/2024 04:00:00","Spain (ES)","Portugal (PT)","1628.21"
"01/11/2024 03:00:00 - 01/11/2024 04:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/11/2024 04:00:00 - 01/11/2024 05:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 04:00:00 - 01/11/2024 05:00:00","France (FR)","Spain (ES)","2927.27"
"01/11/2024 04:00:00 - 01/11/2024 05:00:00","Spain (ES)","Portugal (PT)","2161.62"
"01/11/2024 04:00:00 - 01/11/2024 05:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/11/2024 05:00:00 - 01/11/2024 06:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 05:00:00 - 01/11/2024 06:00:00","France (FR)","Spain (ES)","2186.88"
"01/11/2024 05:00:00 - 01/11/2024 06:00:00","Spain (ES)","Portugal (PT)","1605.41"
"01/11/2024 05:00:00 - 01/11/2024 06:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/11/2024 06:00:00 - 01/11/2024 07:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 06:00:00 - 01/11/2024 07:00:00","France (FR)","Spain (ES)","1221.83"
"01/11/2024 06:00:00 - 01/11/2024 07:00:00","Spain (ES)","Portugal (PT)","412.64"
"01/11/2024 06:00:00 - 01/11/2024 07:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/11/2024 07:00:00 - 01/11/2024 08:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 07:00:00 - 01/11/2024 08:00:00","France (FR)","Spain (ES)","920.68"
"01/11/2024 07:00:00 - 01/11/2024 08:00:00","Spain (ES)","Portugal (PT)","0.00"
"01/11/2024 07:00:00 - 01/11/2024 08:00:00","Portugal (PT)","Spain (ES)","566.74"
"01/11/2024 08:00:00 - 01/11/2024 09:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 08:00:00 - 01/11/2024 09:00:00","France (FR)","Spain (ES)","973.43"
"01/11/2024 08:00:00 - 01/11/2024 09:00:00","Spain (ES)","Portugal (PT)","0.00"
"01/11/2024 08:00:00 - 01/11/2024 09:00:00","Portugal (PT)","Spain (ES)","254.89"
"01/11/2024 09:00:00 - 01/11/2024 10:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 09:00:00 - 01/11/2024 10:00:00","France (FR)","Spain (ES)","480.97"
"01/11/2024 09:00:00 - 01/11/2024 10:00:00","Spain (ES)","Portugal (PT)","956.16"
"01/11/2024 09:00:00 - 01/11/2024 10:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/11/2024 10:00:00 - 01/11/2024 11:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 10:00:00 - 01/11/2024 11:00:00","France (FR)","Spain (ES)","780.02"
"01/11/2024 10:00:00 - 01/11/2024 11:00:00","Spain (ES)","Portugal (PT)","2129.62"
"01/11/2024 10:00:00 - 01/11/2024 11:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/11/2024 11:00:00 - 01/11/2024 12:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 11:00:00 - 01/11/2024 12:00:00","France (FR)","Spain (ES)","1811.88"
"01/11/2024 11:00:00 - 01/11/2024 12:00:00","Spain (ES)","Portugal (PT)","2848.37"
"01/11/2024 11:00:00 - 01/11/2024 12:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/11/2024 12:00:00 - 01/11/2024 13:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 12:00:00 - 01/11/2024 13:00:00","France (FR)","Spain (ES)","1673.53"
"01/11/2024 12:00:00 - 01/11/2024 13:00:00","Spain (ES)","Portugal (PT)","3053.83"
"01/11/2024 12:00:00 - 01/11/2024 13:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/11/2024 13:00:00 - 01/11/2024 14:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 13:00:00 - 01/11/2024 14:00:00","France (FR)","Spain (ES)","1964.67"
"01/11/2024 13:00:00 - 01/11/2024 14:00:00","Spain (ES)","Portugal (PT)","3267.24"
"01/11/2024 13:00:00 - 01/11/2024 14:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/11/2024 14:00:00 - 01/11/2024 15:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 14:00:00 - 01/11/2024 15:00:00","France (FR)","Spain (ES)","1897.84"
"01/11/2024 14:00:00 - 01/11/2024 15:00:00","Spain (ES)","Portugal (PT)","2885.90"
"01/11/2024 14:00:00 - 01/11/2024 15:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/11/2024 15:00:00 - 01/11/2024 16:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 15:00:00 - 01/11/2024 16:00:00","France (FR)","Spain (ES)","697.01"
"01/11/2024 15:00:00 - 01/11/2024 16:00:00","Spain (ES)","Portugal (PT)","2908.40"
"01/11/2024 15:00:00 - 01/11/2024 16:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/11/2024 16:00:00 - 01/11/2024 17:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 16:00:00 - 01/11/2024 17:00:00","France (FR)","Spain (ES)","126.83"
"01/11/2024 16:00:00 - 01/11/2024 17:00:00","Spain (ES)","Portugal (PT)","1618.51"
"01/11/2024 16:00:00 - 01/11/2024 17:00:00","Portugal (PT)","Spain (ES)","0.00"
"01/11/2024 17:00:00 - 01/11/2024 18:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 17:00:00 - 01/11/2024 18:00:00","France (FR)","Spain (ES)","286.27"
"01/11/2024 17:00:00 - 01/11/2024 18:00:00","Spain (ES)","Portugal (PT)","0.00"
"01/11/2024 17:00:00 - 01/11/2024 18:00:00","Portugal (PT)","Spain (ES)","150.35"
"01/11/2024 18:00:00 - 01/11/2024 19:00:00","Spain (ES)","France (FR)","494.07"
"01/11/2024 18:00:00 - 01/11/2024 19:00:00","France (FR)","Spain (ES)","0.00"
"01/11/2024 18:00:00 - 01/11/2024 19:00:00","Spain (ES)","Portugal (PT)","0.00"
"01/11/2024 18:00:00 - 01/11/2024 19:00:00","Portugal (PT)","Spain (ES)","1548.86"
"01/11/2024 19:00:00 - 01/11/2024 20:00:00","Spain (ES)","France (FR)","74.83"
"01/11/2024 19:00:00 - 01/11/2024 20:00:00","France (FR)","Spain (ES)","0.00"
"01/11/2024 19:00:00 - 01/11/2024 20:00:00","Spain (ES)","Portugal (PT)","0.00"
"01/11/2024 19:00:00 - 01/11/2024 20:00:00","Portugal (PT)","Spain (ES)","1805.66"
"01/11/2024 20:00:00 - 01/11/2024 21:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 20:00:00 - 01/11/2024 21:00:00","France (FR)","Spain (ES)","1914.04"
"01/11/2024 20:00:00 - 01/11/2024 21:00:00","Spain (ES)","Portugal (PT)","0.00"
"01/11/2024 20:00:00 - 01/11/2024 21:00:00","Portugal (PT)","Spain (ES)","1163.14"
"01/11/2024 21:00:00 - 01/11/2024 22:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 21:00:00 - 01/11/2024 22:00:00","France (FR)","Spain (ES)","2403.70"
"01/11/2024 21:00:00 - 01/11/2024 22:00:00","Spain (ES)","Portugal (PT)","0.00"
"01/11/2024 21:00:00 - 01/11/2024 22:00:00","Portugal (PT)","Spain (ES)","1206.78"
"01/11/2024 22:00:00 - 01/11/2024 23:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 22:00:00 - 01/11/2024 23:00:00","France (FR)","Spain (ES)","2278.37"
"01/11/2024 22:00:00 - 01/11/2024 23:00:00","Spain (ES)","Portugal (PT)","0.00"
"01/11/2024 22:00:00 - 01/11/2024 23:00:00","Portugal (PT)","Spain (ES)","1058.51"
"01/11/2024 23:00:00 - 02/11/2024 00:00:00","Spain (ES)","France (FR)","0.00"
"01/11/2024 23:00:00 - 02/11/2024 00:00:00","France (FR)","Spain (ES)","1651.23"
"01/11/2024 23:00:00 - 02/11/2024 00:00:00","Spain (ES)","Portugal (PT)","0.00"
"01/11/2024 23:00:00 - 02/11/2024 00:00:00","Portugal (PT)","Spain (ES)","785.07"
"02/11/2024 00:00:00 - 02/11/2024 01:00:00","Spain (ES)","France (FR)","0.00"
"02/11/2024 00:00:00 - 02/11/2024 01:00:00","France (FR)","Spain (ES)","1930.30"
"02/11/2024 00:00:00 - 02/11/2024 01:00:00","Spain (ES)","Portugal (PT)","259.70"
"02/11/2024 00:00:00 - 02/11/2024 01:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/11/2024 01:00:00 - 02/11/2024 02:00:00","Spain (ES)","France (FR)","0.00"
"02/11/2024 01:00:00 - 02/11/2024 02:00:00","France (FR)","Spain (ES)","2050.87"
"02/11/2024 01:00:00 - 02/11/2024 02:00:00","Spain (ES)","Portugal (PT)","441.88"
"02/11/2024 01:00:00 - 02/11/2024 02:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/11/2024 02:00:00 - 02/11/2024 03:00:00","Spain (ES)","France (FR)","0.00"
"02/11/2024 02:00:00 - 02/11/2024 03:00:00","France (FR)","Spain (ES)","2083.81"
"02/11/2024 02:00:00 - 02/11/2024 03:00:00","Spain (ES)","Portugal (PT)","395.62"
"02/11/2024 02:00:00 - 02/11/2024 03:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/11/2024 03:00:00 - 02/11/2024 04:00:00","Spain (ES)","France (FR)","0.00"
"02/11/2024 03:00:00 - 02/11/2024 04:00:00","France (FR)","Spain (ES)","2645.08"
"02/11/2024 03:00:00 - 02/11/2024 04:00:00","Spain (ES)","Portugal (PT)","687.98"
"02/11/2024 03:00:00 - 02/11/2024 04:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/11/2024 04:00:00 - 02/11/2024 05:00:00","Spain (ES)","France (FR)","0.00"
"02/11/2024 04:00:00 - 02/11/2024 05:00:00","France (FR)","Spain (ES)","2605.68"
"02/11/2024 04:00:00 - 02/11/2024 05:00:00","Spain (ES)","Portugal (PT)","728.28"
"02/11/2024 04:00:00 - 02/11/2024 05:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/11/2024 05:00:00 - 02/11/2024 06:00:00","Spain (ES)","France (FR)","0.00"
"02/11/2024 05:00:00 - 02/11/2024 06:00:00","France (FR)","Spain (ES)","2734.04"
"02/11/2024 05:00:00 - 02/11/2024 06:00:00","Spain (ES)","Portugal (PT)","1235.10"
"02/11/2024 05:00:00 - 02/11/2024 06:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/11/2024 06:00:00 - 02/11/2024 07:00:00","Spain (ES)","France (FR)","0.00"
"02/11/2024 06:00:00 - 02/11/2024 07:00:00","France (FR)","Spain (ES)","2260.04"
"02/11/2024 06:00:00 - 02/11/2024 07:00:00","Spain (ES)","Portugal (PT)","308.54"
"02/11/2024 06:00:00 - 02/11/2024 07:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/11/2024 07:00:00 - 02/11/2024 08:00:00","Spain (ES)","France (FR)","0.00"
"02/11/2024 07:00:00 - 02/11/2024 08:00:00","France (FR)","Spain (ES)","1778.48"
"02/11/2024 07:00:00 - 02/11/2024 08:00:00","Spain (ES)","Portugal (PT)","0.00"
"02/11/2024 07:00:00 - 02/11/2024 08:00:00","Portugal (PT)","Spain (ES)","481.75"
"02/11/2024 08:00:00 - 02/11/2024 09:00:00","Spain (ES)","France (FR)","0.00"
"02/11/2024 08:00:00 - 02/11/2024 09:00:00","France (FR)","Spain (ES)","910.57"
"02/11/2024 08:00:00 - 02/11/2024 09:00:00","Spain (ES)","Portugal (PT)","0.00"
"02/11/2024 08:00:00 - 02/11/2024 09:00:00","Portugal (PT)","Spain (ES)","803.15"
"02/11/2024 09:00:00 - 02/11/2024 10:00:00","Spain (ES)","France (FR)","0.00"
"02/11/2024 09:00:00 - 02/11/2024 10:00:00","France (FR)","Spain (ES)","179.04"
"02/11/2024 09:00:00 - 02/11/2024 10:00:00","Spain (ES)","Portugal (PT)","0.00"
"02/11/2024 09:00:00 - 02/11/2024 10:00:00","Portugal (PT)","Spain (ES)","194.06"
"02/11/2024 10:00:00 - 02/11/2024 11:00:00","Spain (ES)","France (FR)","706.32"
"02/11/2024 10:00:00 - 02/11/2024 11:00:00","France (FR)","Spain (ES)","0.00"
"02/11/2024 10:00:00 - 02/11/2024 11:00:00","Spain (ES)","Portugal (PT)","1147.16"
"02/11/2024 10:00:00 - 02/11/2024 11:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/11/2024 11:00:00 - 02/11/2024 12:00:00","Spain (ES)","France (FR)","1518.42"
"02/11/2024 11:00:00 - 02/11/2024 12:00:00","France (FR)","Spain (ES)","0.00"
"02/11/2024 11:00:00 - 02/11/2024 12:00:00","Spain (ES)","Portugal (PT)","1853.70"
"02/11/2024 11:00:00 - 02/11/2024 12:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/11/2024 12:00:00 - 02/11/2024 13:00:00","Spain (ES)","France (FR)","1696.65"
"02/11/2024 12:00:00 - 02/11/2024 13:00:00","France (FR)","Spain (ES)","0.00"
"02/11/2024 12:00:00 - 02/11/2024 13:00:00","Spain (ES)","Portugal (PT)","1872.76"
"02/11/2024 12:00:00 - 02/11/2024 13:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/11/2024 13:00:00 - 02/11/2024 14:00:00","Spain (ES)","France (FR)","1495.96"
"02/11/2024 13:00:00 - 02/11/2024 14:00:00","France (FR)","Spain (ES)","0.00"
"02/11/2024 13:00:00 - 02/11/2024 14:00:00","Spain (ES)","Portugal (PT)","2163.76"
"02/11/2024 13:00:00 - 02/11/2024 14:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/11/2024 14:00:00 - 02/11/2024 15:00:00","Spain (ES)","France (FR)","1642.08"
"02/11/2024 14:00:00 - 02/11/2024 15:00:00","France (FR)","Spain (ES)","0.00"
"02/11/2024 14:00:00 - 02/11/2024 15:00:00","Spain (ES)","Portugal (PT)","2492.98"
"02/11/2024 14:00:00 - 02/11/2024 15:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/11/2024 15:00:00 - 02/11/2024 16:00:00","Spain (ES)","France (FR)","862.02"
"02/11/2024 15:00:00 - 02/11/2024 16:00:00","France (FR)","Spain (ES)","0.00"
"02/11/2024 15:00:00 - 02/11/2024 16:00:00","Spain (ES)","Portugal (PT)","2676.09"
"02/11/2024 15:00:00 - 02/11/2024 16:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/11/2024 16:00:00 - 02/11/2024 17:00:00","Spain (ES)","France (FR)","353.79"
"02/11/2024 16:00:00 - 02/11/2024 17:00:00","France (FR)","Spain (ES)","0.00"
"02/11/2024 16:00:00 - 02/11/2024 17:00:00","Spain (ES)","Portugal (PT)","2389.35"
"02/11/2024 16:00:00 - 02/11/2024 17:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/11/2024 17:00:00 - 02/11/2024 18:00:00","Spain (ES)","France (FR)","0.00"
"02/11/2024 17:00:00 - 02/11/2024 18:00:00","France (FR)","Spain (ES)","669.62"
"02/11/2024 17:00:00 - 02/11/2024 18:00:00","Spain (ES)","Portugal (PT)","1278.23"
"02/11/2024 17:00:00 - 02/11/2024 18:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/11/2024 18:00:00 - 02/11/2024 19:00:00","Spain (ES)","France (FR)","0.00"
"02/11/2024 18:00:00 - 02/11/2024 19:00:00","France (FR)","Spain (ES)","227.93"
"02/11/2024 18:00:00 - 02/11/2024 19:00:00","Spain (ES)","Portugal (PT)","0.00"
"02/11/2024 18:00:00 - 02/11/2024 19:00:00","Portugal (PT)","Spain (ES)","345.91"
"02/11/2024 19:00:00 - 02/11/2024 20:00:00","Spain (ES)","France (FR)","0.00"
"02/11/2024 19:00:00 - 02/11/2024 20:00:00","France (FR)","Spain (ES)","213.91"
"02/11/2024 19:00:00 - 02/11/2024 20:00:00","Spain (ES)","Portugal (PT)","0.00"
"02/11/2024 19:00:00 - 02/11/2024 20:00:00","Portugal (PT)","Spain (ES)","1083.63"
"02/11/2024 20:00:00 - 02/11/2024 21:00:00","Spain (ES)","France (FR)","0.00"
"02/11/2024 20:00:00 - 02/11/2024 21:00:00","France (FR)","Spain (ES)","1489.46"
"02/11/2024 20:00:00 - 02/11/2024 21:00:00","Spain (ES)","Portugal (PT)","0.00"
"02/11/2024 20:00:00 - 02/11/2024 21:00:00","Portugal (PT)","Spain (ES)","969.39"
"02/11/2024 21:00:00 - 02/11/2024 22:00:00","Spain (ES)","France (FR)","0.00"
"02/11/2024 21:00:00 - 02/11/2024 22:00:00","France (FR)","Spain (ES)","2507.02"
"02/11/2024 21:00:00 - 02/11/2024 22:00:00","Spain (ES)","Portugal (PT)","0.00"
"02/11/2024 21:00:00 - 02/11/2024 22:00:00","Portugal (PT)","Spain (ES)","672.12"
"02/11/2024 22:00:00 - 02/11/2024 23:00:00","Spain (ES)","France (FR)","0.00"
"02/11/2024 22:00:00 - 02/11/2024 23:00:00","France (FR)","Spain (ES)","1793.18"
"02/11/2024 22:00:00 - 02/11/2024 23:00:00","Spain (ES)","Portugal (PT)","0.00"
"02/11/2024 22:00:00 - 02/11/2024 23:00:00","Portugal (PT)","Spain (ES)","332.80"
"02/11/2024 23:00:00 - 03/11/2024 00:00:00","Spain (ES)","France (FR)","0.00"
"02/11/2024 23:00:00 - 03/11/2024 00:00:00","France (FR)","Spain (ES)","1071.46"
"02/11/2024 23:00:00 - 03/11/2024 00:00:00","Spain (ES)","Portugal (PT)","0.00"
"02/11/2024 23:00:00 - 03/11/2024 00:00:00","Portugal (PT)","Spain (ES)","70.28"
"03/11/2024 00:00:00 - 03/11/2024 01:00:00","Spain (ES)","France (FR)","0.00"
"03/11/2024 00:00:00 - 03/11/2024 01:00:00","France (FR)","Spain (ES)","766.32"
"03/11/2024 00:00:00 - 03/11/2024 01:00:00","Spain (ES)","Portugal (PT)","370.78"
"03/11/2024 00:00:00 - 03/11/2024 01:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/11/2024 01:00:00 - 03/11/2024 02:00:00","Spain (ES)","France (FR)","0.00"
"03/11/2024 01:00:00 - 03/11/2024 02:00:00","France (FR)","Spain (ES)","568.21"
"03/11/2024 01:00:00 - 03/11/2024 02:00:00","Spain (ES)","Portugal (PT)","666.88"
"03/11/2024 01:00:00 - 03/11/2024 02:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/11/2024 02:00:00 - 03/11/2024 03:00:00","Spain (ES)","France (FR)","0.00"
"03/11/2024 02:00:00 - 03/11/2024 03:00:00","France (FR)","Spain (ES)","995.98"
"03/11/2024 02:00:00 - 03/11/2024 03:00:00","Spain (ES)","Portugal (PT)","1711.56"
"03/11/2024 02:00:00 - 03/11/2024 03:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/11/2024 03:00:00 - 03/11/2024 04:00:00","Spain (ES)","France (FR)","0.00"
"03/11/2024 03:00:00 - 03/11/2024 04:00:00","France (FR)","Spain (ES)","1289.18"
"03/11/2024 03:00:00 - 03/11/2024 04:00:00","Spain (ES)","Portugal (PT)","2145.81"
"03/11/2024 03:00:00 - 03/11/2024 04:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/11/2024 04:00:00 - 03/11/2024 05:00:00","Spain (ES)","France (FR)","0.00"
"03/11/2024 04:00:00 - 03/11/2024 05:00:00","France (FR)","Spain (ES)","1291.75"
"03/11/2024 04:00:00 - 03/11/2024 05:00:00","Spain (ES)","Portugal (PT)","2174.06"
"03/11/2024 04:00:00 - 03/11/2024 05:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/11/2024 05:00:00 - 03/11/2024 06:00:00","Spain (ES)","France (FR)","0.00"
"03/11/2024 05:00:00 - 03/11/2024 06:00:00","France (FR)","Spain (ES)","1101.66"
"03/11/2024 05:00:00 - 03/11/2024 06:00:00","Spain (ES)","Portugal (PT)","1985.59"
"03/11/2024 05:00:00 - 03/11/2024 06:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/11/2024 06:00:00 - 03/11/2024 07:00:00","Spain (ES)","France (FR)","0.00"
"03/11/2024 06:00:00 - 03/11/2024 07:00:00","France (FR)","Spain (ES)","953.90"
"03/11/2024 06:00:00 - 03/11/2024 07:00:00","Spain (ES)","Portugal (PT)","1989.93"
"03/11/2024 06:00:00 - 03/11/2024 07:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/11/2024 07:00:00 - 03/11/2024 08:00:00","Spain (ES)","France (FR)","0.00"
"03/11/2024 07:00:00 - 03/11/2024 08:00:00","France (FR)","Spain (ES)","364.45"
"03/11/2024 07:00:00 - 03/11/2024 08:00:00","Spain (ES)","Portugal (PT)","1335.84"
"03/11/2024 07:00:00 - 03/11/2024 08:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/11/2024 08:00:00 - 03/11/2024 09:00:00","Spain (ES)","France (FR)","550.62"
"03/11/2024 08:00:00 - 03/11/2024 09:00:00","France (FR)","Spain (ES)","0.00"
"03/11/2024 08:00:00 - 03/11/2024 09:00:00","Spain (ES)","Portugal (PT)","1264.56"
"03/11/2024 08:00:00 - 03/11/2024 09:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/11/2024 09:00:00 - 03/11/2024 10:00:00","Spain (ES)","France (FR)","1211.69"
"03/11/2024 09:00:00 - 03/11/2024 10:00:00","France (FR)","Spain (ES)","0.00"
"03/11/2024 09:00:00 - 03/11/2024 10:00:00","Spain (ES)","Portugal (PT)","1582.02"
"03/11/2024 09:00:00 - 03/11/2024 10:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/11/2024 10:00:00 - 03/11/2024 11:00:00","Spain (ES)","France (FR)","1266.82"
"03/11/2024 10:00:00 - 03/11/2024 11:00:00","France (FR)","Spain (ES)","0.00"
"03/11/2024 10:00:00 - 03/11/2024 11:00:00","Spain (ES)","Portugal (PT)","1812.87"
"03/11/2024 10:00:00 - 03/11/2024 11:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/11/2024 11:00:00 - 03/11/2024 12:00:00","Spain (ES)","France (FR)","830.90"
"03/11/2024 11:00:00 - 03/11/2024 12:00:00","France (FR)","Spain (ES)","0.00"
"03/11/2024 11:00:00 - 03/11/2024 12:00:00","Spain (ES)","Portugal (PT)","2082.03"
"03/11/2024 11:00:00 - 03/11/2024 12:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/11/2024 12:00:00 - 03/11/2024 13:00:00","Spain (ES)","France (FR)","515.53"
"03/11/2024 12:00:00 - 03/11/2024 13:00:00","France (FR)","Spain (ES)","0.00"
"03/11/2024 12:00:00 - 03/11/2024 13:00:00","Spain (ES)","Portugal (PT)","2332.28"
"03/11/2024 12:00:00 - 03/11/2024 13:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/11/2024 13:00:00 - 03/11/2024 14:00:00","Spain (ES)","France (FR)","435.51"
"03/11/2024 13:00:00 - 03/11/2024 14:00:00","France (FR)","Spain (ES)","0.00"
"03/11/2024 13:00:00 - 03/11/2024 14:00:00","Spain (ES)","Portugal (PT)","2652.89"
"03/11/2024 13:00:00 - 03/11/2024 14:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/11/2024 14:00:00 - 03/11/2024 15:00:00","Spain (ES)","France (FR)","452.34"
"03/11/2024 14:00:00 - 03/11/2024 15:00:00","France (FR)","Spain (ES)","0.00"
"03/11/2024 14:00:00 - 03/11/2024 15:00:00","Spain (ES)","Portugal (PT)","2815.51"
"03/11/2024 14:00:00 - 03/11/2024 15:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/11/2024 15:00:00 - 03/11/2024 16:00:00","Spain (ES)","France (FR)","985.93"
"03/11/2024 15:00:00 - 03/11/2024 16:00:00","France (FR)","Spain (ES)","0.00"
"03/11/2024 15:00:00 - 03/11/2024 16:00:00","Spain (ES)","Portugal (PT)","3022.04"
"03/11/2024 15:00:00 - 03/11/2024 16:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/11/2024 16:00:00 - 03/11/2024 17:00:00","Spain (ES)","France (FR)","1031.34"
"03/11/2024 16:00:00 - 03/11/2024 17:00:00","France (FR)","Spain (ES)","0.00"
"03/11/2024 16:00:00 - 03/11/2024 17:00:00","Spain (ES)","Portugal (PT)","2295.79"
"03/11/2024 16:00:00 - 03/11/2024 17:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/11/2024 17:00:00 - 03/11/2024 18:00:00","Spain (ES)","France (FR)","896.09"
"03/11/2024 17:00:00 - 03/11/2024 18:00:00","France (FR)","Spain (ES)","0.00"
"03/11/2024 17:00:00 - 03/11/2024 18:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/11/2024 17:00:00 - 03/11/2024 18:00:00","Portugal (PT)","Spain (ES)","27.44"
"03/11/2024 18:00:00 - 03/11/2024 19:00:00","Spain (ES)","France (FR)","1169.44"
"03/11/2024 18:00:00 - 03/11/2024 19:00:00","France (FR)","Spain (ES)","0.00"
"03/11/2024 18:00:00 - 03/11/2024 19:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/11/2024 18:00:00 - 03/11/2024 19:00:00","Portugal (PT)","Spain (ES)","1693.84"
"03/11/2024 19:00:00 - 03/11/2024 20:00:00","Spain (ES)","France (FR)","2007.88"
"03/11/2024 19:00:00 - 03/11/2024 20:00:00","France (FR)","Spain (ES)","0.00"
"03/11/2024 19:00:00 - 03/11/2024 20:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/11/2024 19:00:00 - 03/11/2024 20:00:00","Portugal (PT)","Spain (ES)","2442.91"
"03/11/2024 20:00:00 - 03/11/2024 21:00:00","Spain (ES)","France (FR)","165.79"
"03/11/2024 20:00:00 - 03/11/2024 21:00:00","France (FR)","Spain (ES)","0.00"
"03/11/2024 20:00:00 - 03/11/2024 21:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/11/2024 20:00:00 - 03/11/2024 21:00:00","Portugal (PT)","Spain (ES)","2109.90"
"03/11/2024 21:00:00 - 03/11/2024 22:00:00","Spain (ES)","France (FR)","0.00"
"03/11/2024 21:00:00 - 03/11/2024 22:00:00","France (FR)","Spain (ES)","1264.12"
"03/11/2024 21:00:00 - 03/11/2024 22:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/11/2024 21:00:00 - 03/11/2024 22:00:00","Portugal (PT)","Spain (ES)","1851.39"
"03/11/2024 22:00:00 - 03/11/2024 23:00:00","Spain (ES)","France (FR)","0.00"
"03/11/2024 22:00:00 - 03/11/2024 23:00:00","France (FR)","Spain (ES)","403.90"
"03/11/2024 22:00:00 - 03/11/2024 23:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/11/2024 22:00:00 - 03/11/2024 23:00:00","Portugal (PT)","Spain (ES)","1697.22"
"03/11/2024 23:00:00 - 04/11/2024 00:00:00","Spain (ES)","France (FR)","0.00"
"03/11/2024 23:00:00 - 04/11/2024 00:00:00","France (FR)","Spain (ES)","133.50"
"03/11/2024 23:00:00 - 04/11/2024 00:00:00","Spain (ES)","Portugal (PT)","0.00"
"03/11/2024 23:00:00 - 04/11/2024 00:00:00","Portugal (PT)","Spain (ES)","956.23"
"04/11/2024 00:00:00 - 04/11/2024 01:00:00","Spain (ES)","France (FR)","0.00"
"04/11/2024 00:00:00 - 04/11/2024 01:00:00","France (FR)","Spain (ES)","72.30"
"04/11/2024 00:00:00 - 04/11/2024 01:00:00","Spain (ES)","Portugal (PT)","456.95"
"04/11/2024 00:00:00 - 04/11/2024 01:00:00","Portugal (PT)","Spain (ES)","0.00"
