"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2023 01:30 - 03/01/2023 01:45","CTA|ES","21024.00","21185.00"
"03/01/2023 01:45 - 03/01/2023 02:00","CTA|ES","20656.00","20888.00"
"03/01/2023 02:00 - 03/01/2023 02:15","CTA|ES","20348.00","20571.00"
"03/01/2023 02:15 - 03/01/2023 02:30","CTA|ES","20216.00","20346.00"
"03/01/2023 02:30 - 03/01/2023 02:45","CTA|ES","20056.00","20151.00"
"03/01/2023 02:45 - 03/01/2023 03:00","CTA|ES","19948.00","19986.00"
"03/01/2023 03:00 - 03/01/2023 03:15","CTA|ES","19800.00","19786.00"
"03/01/2023 03:15 - 03/01/2023 03:30","CTA|ES","19656.00","19688.00"
"03/01/2023 03:30 - 03/01/2023 03:45","CTA|ES","19628.00","19627.00"
"03/01/2023 03:45 - 03/01/2023 04:00","CTA|ES","19588.00","19601.00"
"03/01/2023 04:00 - 03/01/2023 04:15","CTA|ES","19568.00","19535.00"
"03/01/2023 04:15 - 03/01/2023 04:30","CTA|ES","19588.00","19578.00"
"03/01/2023 04:30 - 03/01/2023 04:45","CTA|ES","19508.00","19657.00"
"03/01/2023 04:45 - 03/01/2023 05:00","CTA|ES","19588.00","19789.00"
"03/01/2023 05:00 - 03/01/2023 05:15","CTA|ES","19840.00","19810.00"
"03/01/2023 05:15 - 03/01/2023 05:30","CTA|ES","20044.00","20106.00"
"03/01/2023 05:30 - 03/01/2023 05:45","CTA|ES","20304.00","20508.00"
"03/01/2023 05:45 - 03/01/2023 06:00","CTA|ES","20680.00","21008.00"
"03/01/2023 06:00 - 03/01/2023 06:15","CTA|ES","21840.00","21505.00"
"03/01/2023 06:15 - 03/01/2023 06:30","CTA|ES","22464.00","22148.00"
"03/01/2023 06:30 - 03/01/2023 06:45","CTA|ES","23052.00","22840.00"
"03/01/2023 06:45 - 03/01/2023 07:00","CTA|ES","23676.00","23556.00"
"03/01/2023 07:00 - 03/01/2023 07:15","CTA|ES","24920.00","24379.00"
"03/01/2023 07:15 - 03/01/2023 07:30","CTA|ES","25524.00","25074.00"
"03/01/2023 07:30 - 03/01/2023 07:45","CTA|ES","26256.00","25723.00"
"03/01/2023 07:45 - 03/01/2023 08:00","CTA|ES","26828.00","26319.00"
